source_id,digital_page,printed_page,section,coverage,review_status,transcription_file,notes
ALC1737,77,63,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p077.json,"Rules 207-210 begin; si/antes with vn supuesto"
ALC1737,78,64,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p078.json,"Rules 210-213; cari/cacari and modal particles"
ALC1737,79,65,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p079.json,"Rules 213-215; two-supposition modal system"
ALC1737,80,66,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p080.json,"Rules 215-218; Epitome de todo lo dicho"
ALC1737,81,67,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p081.json,"Rules 218-221; porque with one/two supuestos"
ALC1737,82,68,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p082.json,"Rules 221-224; para/paraque with vn supuesto begins"
ALC1737,83,69,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p083.json,"Rules 224-227; varecari/rocacari/poea and iyaacari/teeiacari"
ALC1737,84,70,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p084.json,"Rules 227-229; particles explained; como si begins"
ALC1737,85,71,part_iii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p085.json,"Rules 230-231; ten/tzaua and ven/veni paradigmatic examples"
ALC1737,86,72,part_iii,full_page,unresolved,data/transcription/pages/ALC1737_p086.json,"Rules 231-234; nominal como-si constructions and response contrast"
